sku,name,Products_type
BB_CREAM,"BB CREAM",configurable
C-BBCD,"BB Cream - Dark",simple
C-BBCL,"BB Cream - Light",simple
C-BBCM,"BB Cream - Med",simple
C-BBCT,"BB Cream - Tan",simple
blush_compact_color,"Blush - Compact",configurable
C-B6000C,"Blush - Compact Soft Contour M",simple
C-B6001C,"Blush - Compact - Contour M",simple
C-B6002C,"Blush - Compact - Off White Madness M",simple
C-B6006C,"Blush - Compact - Desert Brown M",simple
C-B6007C,"Blush - Compact - Creamy Peach M",simple
C-B6008C,"Blush - Compact - Pleasantly Fresh M",simple
C-B6009C,"Blush - Compact - Passion Peach M",simple
C-B6010C,"Blush - Compact - Sandy Pearl M",simple
C-B6011C,"Blush - Compact - Golden Brown M",simple
C-B6012C,"Blush - Compact - Hint of Color S",simple
C-B6013C,"Blush - Compact - Coral Silk M",simple
C-B6014C,"Blush - Compact - Sunset S",simple
C-B6015C,"Blush - Compact - Peach M",simple
C-B6016C,"Blush - Compact - Peachy Keen S",simple
C-B6017C,"Blush - Compact - Utopia Orange S",simple
C-B6019C,"Blush - Compact - Sweet Kiss M",simple
C-B6020C,"Blush - Compact - Coral M",simple
C-B6021C,"Blush - Compact - Melon S",simple
C-B6022C,"Blush - Compact - Autumn M",simple
C-B6024C,"Blush - Compact - Fantastic Rose M",simple
C-B6025C,"Blush - Compact - Shimmering Pink G",simple
C-B6026C,"Blush - Compact - Rosey M",simple
C-B6027C,"Blush - Compact - Burgandy Flame S",simple
C-B6028C,"Blush - Compact - Powder Pink M",simple
C-B6030C,"Blush - Compact - Dark Pink M",simple
C-B6031C,"Blush - Compact - Magical Magenta M",simple
C-B6032C,"Blush - Compact - Deep Mario M",simple
C-B6033C,"Blush - Compact - Mauve M",simple
C-B6034C,"Blush - Compact - Parfait Purple M",simple
C-B6035C,"Blush - Compact - Radical Violet M",simple
C-B6037C,"Blush - Compact - Mocha M",simple
C-B6038C,"Blush - Compact - Coral Kiss S",simple
